time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.032	1100.000	7647.71	nan	nan	4.5	1100	1100	nan	1016	809.157	7647.71	4420.98	0	0	0.0195473	0.980453	0.219479	0.494513	0.278121	0.00788752	1	0	0
0.033	1100.000	7086.34	nan	nan	4.5	1100	1100	nan	1015.98	809.145	7086.34	4421.36	0	0	0.0164609	0.983539	0.216049	0.499657	0.275034	0.00925926	1	0	0
0.034	1100.000	7071.46	nan	nan	4.5	1100	1100	nan	1015.98	809.152	7071.46	4421.17	0	0	0.0154321	0.984568	0.210562	0.511317	0.268519	0.00960219	1	0	0
0.035	1100.000	6809.76	nan	nan	4.5	1100	1100	nan	1015.97	809.15	6809.76	4421.27	0	0	0.0185185	0.981481	0.218793	0.498971	0.274348	0.00788752	1	0	0
0.036	1100.000	7044.96	nan	nan	4.5	1100	1100	nan	1015.97	809.152	7044.96	4421.17	0	0	0.0144033	0.985597	0.230453	0.486626	0.276406	0.00651578	1	0	0
0.037	1100.000	7467.74	nan	nan	4.5	1100	1100	nan	1015.99	809.151	7467.74	4421.14	0	0	0.0133745	0.986626	0.229081	0.484911	0.277778	0.00823045	1	0	0
0.038	1100.000	6840.06	nan	nan	4.5	1100	1100	nan	1015.97	809.148	6840.06	4421.31	0	0	0.0185185	0.981481	0.237997	0.47085	0.283951	0.00720165	1	0	0
0.039	1100.000	7509.9	nan	nan	4.5	1100	1100	nan	1016	809.152	7509.9	4421.13	0	0	0.00925926	0.990741	0.22085	0.479767	0.291152	0.00823045	1	0	0
0.04	1100.000	7260.02	nan	nan	4.5	1100	1100	nan	1015.98	809.153	7260.02	4421.12	0	0	0.0133745	0.986626	0.214678	0.482853	0.294582	0.00788752	1	0	0
0.041	1100.000	6405.2	nan	nan	4.5	1100	1100	nan	1015.97	809.133	6405.2	4421.75	0	0	0.0113169	0.988683	0.216735	0.48834	0.289438	0.00548697	1	0	0
